customer_id,signup_date,loyalty_status,age,gender
126,2021-06-04,Platinum,25,M
127,2023-09-29,Silver,46,M
128,2023-02-26,Silver,59,F
129,2021-10-09,Silver,68,F
130,2024-02-04,Gold,39,M
131,2022-12-22,Platinum,21,F
132,2023-03-08,Silver,31,M
133,2024-03-02,Silver,27,M
134,2021-08-15,Silver,39,F
135,2021-01-26,Gold,63,M
136,2024-08-25,Platinum,62,M
137,2021-02-22,Gold,57,M
138,2020-10-15,Gold,32,M
139,2021-01-13,Silver,26,F
140,2024-12-01,Platinum,68,F
141,2024-02-22,Gold,23,M
142,2020-08-18,Silver,55,F
143,2022-10-14,Gold,60,M
144,2020-02-10,Silver,59,M
145,2022-11-17,Gold,54,M
146,2020-05-14,Platinum,24,M
147,2020-07-19,Silver,62,F
148,2022-02-18,Gold,37,F
149,2022-07-18,Gold,24,F
150,2022-11-22,Platinum,22,M
151,2022-12-07,Silver,34,F
152,2021-05-17,Gold,50,F
153,2021-02-10,Silver,45,F
154,2024-05-16,Silver,30,M
155,2024-10-17,Silver,35,F
156,2022-03-15,Silver,30,M
157,2020-04-08,Platinum,44,M
158,2021-11-14,Silver,38,F
159,2021-12-26,Silver,63,M
160,2024-04-19,Silver,66,F
161,2022-08-18,Silver,61,F
162,2024-10-28,Silver,44,M
163,2021-09-04,Platinum,65,M
164,2024-01-25,Gold,67,F
165,2021-10-04,Gold,61,M
166,2024-11-27,Gold,42,F
167,2022-10-25,Gold,46,F
168,2023-05-26,Platinum,33,M
169,2021-05-17,Platinum,64,M
170,2022-02-05,Silver,55,M
171,2021-02-01,Platinum,20,F
172,2022-05-20,Gold,57,M
173,2022-03-05,Silver,20,M
174,2021-01-27,Gold,45,M
175,2020-07-25,Silver,20,F
176,2022-11-04,Silver,64,F
177,2024-04-26,Gold,29,M
178,2022-06-10,Silver,34,F
179,2024-01-24,Silver,32,M
180,2024-09-10,Platinum,39,M
181,2024-05-17,Silver,62,M
182,2022-05-13,Silver,31,M
183,2022-01-12,Platinum,23,F
184,2023-06-18,Platinum,62,F
185,2021-07-17,Silver,31,F
186,2022-10-17,Silver,52,F
187,2020-04-05,Platinum,29,M
188,2024-10-23,Silver,60,F
189,2021-04-29,Gold,59,M
190,2023-12-01,Silver,56,M
191,2020-08-18,Gold,51,F
192,2022-01-18,Silver,35,F
193,2024-08-05,Gold,38,M
194,2023-04-09,Silver,64,M
195,2021-06-24,Silver,31,F
196,2022-11-25,Silver,48,M
197,2021-06-08,Silver,46,F
198,2023-03-29,Platinum,18,M
199,2024-09-18,Platinum,19,F
200,2023-06-20,Gold,57,F
201,2023-01-14,Gold,39,F
202,2024-12-24,Silver,42,F
203,2021-07-31,Silver,25,F
204,2021-11-12,Silver,56,M
205,2021-07-10,Gold,38,F
206,2024-05-16,Silver,52,F
207,2022-10-09,Platinum,54,F
208,2021-10-07,Gold,65,M
209,2022-03-06,Platinum,62,F
210,2022-11-17,Silver,64,M
211,2024-07-01,Gold,61,F
212,2024-04-28,Silver,57,F
213,2023-09-25,Gold,31,M
214,2024-12-26,Platinum,37,F
215,2023-09-16,Silver,35,M
216,2024-07-21,Silver,27,F
217,2024-03-09,Silver,22,F
218,2023-10-03,Platinum,22,F
219,2024-02-05,Silver,38,F
220,2023-06-08,Gold,27,F
221,2020-07-08,Silver,35,M
222,2023-06-02,Platinum,58,F
223,2023-11-09,Silver,57,F
224,2023-11-01,Silver,23,M
225,2023-07-30,Gold,35,F
226,2021-09-24,Gold,21,F
227,2021-09-19,Silver,50,F
228,2022-08-30,Gold,22,M
229,2024-11-03,Silver,45,M
230,2023-07-06,Platinum,25,M
231,2023-10-14,Silver,44,F
232,2021-12-10,Silver,47,F
233,2024-01-19,Silver,23,M
234,2023-12-05,Silver,32,F
235,2021-10-10,Silver,25,F
236,2020-11-13,Silver,39,M
237,2024-08-27,Gold,19,M
238,2023-06-02,Silver,50,F
239,2023-06-11,Silver,59,M
240,2021-11-14,Gold,34,F
241,2021-10-25,Gold,64,F
242,2023-10-29,Silver,22,F
243,2024-08-22,Silver,61,M
244,2024-06-19,Silver,20,M
245,2024-02-04,Gold,25,F
246,2023-06-10,Platinum,27,F
247,2024-09-11,Silver,67,M
248,2023-02-10,Gold,43,M
249,2024-02-29,Silver,46,F
250,2021-03-17,Silver,33,M
251,2021-07-17,Gold,40,F
252,2023-07-15,Silver,25,F
253,2024-03-13,Gold,28,F
254,2023-11-10,Gold,44,F
255,2023-11-11,Platinum,28,F
256,2023-02-10,Silver,55,M
257,2024-06-24,Silver,69,F
258,2024-07-06,Silver,63,M
259,2022-08-09,Silver,29,F
260,2023-01-09,Gold,65,F
261,2021-11-29,Gold,48,M
262,2020-04-22,Silver,45,F
263,2020-01-02,Platinum,67,M
264,2021-10-03,Gold,64,M
265,2020-08-07,Gold,33,F
266,2024-05-08,Platinum,36,M
267,2022-05-04,Gold,35,M
268,2024-10-25,Silver,64,M
269,2023-06-02,Gold,40,M
270,2021-01-19,Platinum,31,F
271,2023-11-27,Silver,32,M
272,2024-07-19,Silver,67,F
273,2023-02-27,Silver,18,F
274,2022-12-12,Silver,28,F
275,2024-09-03,Platinum,66,F
276,2021-12-30,Silver,61,M
277,2024-08-22,Gold,30,M
278,2024-09-29,Platinum,49,M
279,2023-12-10,Gold,61,F
280,2020-09-03,Silver,30,M
281,2022-04-15,Gold,56,F
282,2024-01-02,Platinum,19,F
283,2020-07-21,Silver,33,F
284,2023-04-22,Silver,56,M
285,2020-05-02,Platinum,58,F
286,2021-02-04,Gold,32,F
287,2022-02-05,Gold,19,M
288,2020-10-20,Platinum,64,F
289,2020-10-06,Gold,42,M
290,2022-06-02,Silver,39,F
291,2024-06-21,Silver,46,M
292,2020-07-16,Silver,56,M
293,2022-09-08,Silver,51,F
294,2024-03-14,Silver,47,F
295,2022-01-21,Silver,63,F
296,2020-05-23,Platinum,56,F
297,2021-08-31,Silver,48,F
298,2023-05-09,Gold,40,M
299,2023-02-21,Gold,18,F
300,2020-07-05,Gold,24,M
301,2023-09-11,Gold,57,F
302,2021-04-08,Silver,18,F
303,2023-10-04,Platinum,43,M
304,2024-11-29,Silver,30,F
305,2021-10-21,Gold,50,F
306,2022-02-02,Platinum,23,F
307,2022-08-12,Silver,61,F
308,2021-02-06,Platinum,22,M
309,2023-10-01,Gold,59,F
310,2024-03-14,Gold,50,F
311,2020-05-26,Silver,36,F
312,2023-03-17,Platinum,31,M
313,2022-05-13,Silver,63,M
314,2024-09-30,Silver,52,M
315,2021-05-03,Gold,43,F
316,2022-07-17,Gold,48,M
317,2024-07-21,Silver,54,M
318,2021-07-04,Silver,36,M
319,2020-12-03,Gold,21,F
320,2022-05-21,Silver,51,F
321,2021-10-02,Silver,43,M
322,2024-12-07,Silver,23,M
323,2021-04-17,Gold,25,M
324,2020-05-30,Gold,66,F
325,2023-12-09,Platinum,22,F
326,2023-08-14,Silver,54,M
327,2024-06-22,Platinum,41,M
328,2020-09-19,Platinum,20,M
329,2024-11-22,Silver,23,M
330,2020-05-23,Silver,68,F
331,2020-12-11,Platinum,57,M
332,2021-09-15,Silver,50,F
333,2022-10-13,Gold,30,M
334,2024-05-14,Silver,55,F
335,2022-05-30,Gold,64,M
336,2020-01-02,Gold,34,F
337,2022-06-15,Silver,65,F
338,2023-08-20,Platinum,56,M
339,2020-09-10,Platinum,67,F
340,2024-08-02,Gold,53,F
341,2021-03-28,Silver,29,F
342,2022-11-26,Gold,48,F
343,2023-03-29,Gold,21,F
344,2022-10-11,Silver,60,F
345,2020-01-09,Gold,43,F
346,2023-06-10,Silver,30,F
347,2023-01-27,Gold,58,M
348,2024-08-09,Gold,63,F
349,2022-03-26,Silver,67,M
350,2020-07-26,Silver,26,F
351,2023-02-28,Silver,30,F
352,2021-02-07,Gold,60,F
353,2020-05-31,Gold,61,F
354,2020-02-23,Silver,23,F
355,2023-02-17,Silver,49,F
356,2024-08-23,Gold,67,M
357,2021-09-19,Silver,41,M
358,2021-08-09,Gold,53,F
359,2024-07-06,Gold,37,F
360,2023-12-14,Gold,24,F
361,2023-12-16,Gold,26,F
362,2020-04-13,Platinum,39,M
363,2020-09-10,Platinum,51,F
364,2023-06-04,Silver,24,M
365,2023-02-09,Gold,60,F
366,2021-05-24,Silver,31,M
367,2024-02-05,Silver,31,F
368,2020-04-08,Gold,35,F
369,2020-06-01,Gold,58,F
370,2022-07-02,Gold,35,M
371,2022-05-27,Silver,38,F
372,2020-12-03,Silver,41,F
373,2024-09-25,Silver,54,F
374,2022-04-01,Gold,49,M
375,2023-04-01,Platinum,35,M
376,2024-10-09,Gold,24,F
377,2022-08-14,Gold,33,F
378,2024-08-31,Silver,46,F
379,2020-06-09,Gold,27,M
380,2024-05-22,Gold,54,M
381,2022-03-11,Silver,56,F
382,2021-02-01,Gold,39,M
383,2023-07-24,Silver,31,F
384,2022-03-26,Gold,32,M
385,2024-03-07,Silver,43,F
386,2023-11-16,Platinum,18,M
387,2023-03-04,Silver,29,M
388,2023-05-03,Silver,64,F
389,2021-02-04,Platinum,40,M
390,2021-10-01,Silver,60,M
391,2022-11-22,Gold,24,M
392,2021-11-18,Silver,35,M
393,2021-04-04,Gold,57,F
394,2022-08-12,Gold,42,F
395,2021-04-14,Gold,45,M
396,2023-10-30,Silver,21,M
397,2022-11-11,Gold,63,F
398,2022-01-19,Silver,40,F
399,2024-08-20,Gold,51,F
400,2020-02-07,Silver,19,M
401,2020-08-17,Platinum,31,F
402,2023-10-20,Gold,29,M
403,2021-07-16,Silver,19,M
404,2021-03-13,Gold,56,F
405,2024-12-04,Silver,54,M
406,2023-07-30,Platinum,49,M
407,2020-01-27,Silver,38,M
408,2020-08-13,Silver,56,F
409,2023-07-24,Silver,63,F
410,2022-03-08,Gold,44,M
411,2024-06-20,Silver,56,M
412,2020-10-10,Silver,54,M
413,2022-05-28,Gold,60,M
414,2022-08-17,Silver,38,F
415,2024-02-13,Silver,33,F
416,2021-03-28,Gold,64,M
417,2022-10-16,Platinum,24,F
418,2022-03-26,Gold,65,M
419,2021-10-20,Gold,42,F
420,2024-03-19,Silver,31,M
421,2021-06-30,Gold,28,M
422,2023-04-30,Silver,28,M
423,2022-12-08,Silver,69,M
424,2024-03-15,Silver,60,M
425,2020-01-17,Gold,31,F
426,2023-04-10,Gold,56,M
427,2023-05-28,Platinum,53,M
428,2020-06-06,Silver,58,M
429,2021-04-21,Gold,52,F
430,2022-12-05,Gold,26,M
431,2023-10-28,Silver,19,M
432,2021-06-01,Gold,52,M
433,2020-04-08,Gold,35,M
434,2024-11-03,Silver,19,M
435,2022-11-26,Silver,31,M
436,2020-10-06,Platinum,21,F
437,2023-10-04,Silver,65,F
438,2021-05-11,Platinum,34,F
439,2020-10-28,Gold,60,F
440,2020-06-29,Gold,46,M
441,2021-08-29,Silver,68,M
442,2023-01-27,Silver,68,F
443,2021-11-30,Gold,45,M
444,2022-09-19,Silver,65,M
445,2023-02-13,Silver,24,M
446,2020-07-09,Silver,34,F
447,2020-09-09,Silver,46,F
448,2022-09-07,Silver,49,M
449,2022-07-16,Silver,28,F
450,2023-03-30,Gold,65,M
451,2023-07-03,Gold,52,M
452,2023-09-08,Platinum,53,M
453,2020-05-07,Silver,66,F
454,2020-01-18,Gold,39,M
455,2024-12-21,Gold,22,F
456,2024-10-24,Gold,59,F
457,2021-07-19,Gold,50,M
458,2021-07-23,Gold,25,M
459,2023-09-08,Silver,24,F
460,2021-11-16,Silver,24,M
461,2024-12-20,Silver,47,M
462,2021-09-17,Silver,59,M
463,2023-08-04,Gold,64,F
464,2022-05-03,Gold,23,F
465,2024-08-13,Gold,48,M
466,2022-08-19,Silver,63,M
467,2024-07-20,Gold,69,M
468,2020-06-03,Silver,39,M
469,2021-05-04,Silver,30,M
470,2023-11-10,Gold,23,M
471,2022-02-23,Gold,59,M
472,2023-02-01,Gold,67,M
473,2023-11-17,Silver,31,M
474,2020-09-02,Platinum,20,F
475,2023-04-14,Platinum,45,M
476,2022-11-28,Gold,40,F
477,2024-02-09,Platinum,56,F
478,2024-09-01,Silver,52,M
479,2022-01-28,Silver,52,F
480,2021-06-21,Platinum,27,M
481,2022-07-09,Silver,42,F
482,2021-02-11,Silver,49,F
483,2021-06-08,Silver,34,M
484,2022-04-07,Silver,68,F
485,2024-03-09,Silver,45,M
486,2022-06-21,Gold,30,F
487,2020-02-05,Silver,41,M
488,2021-11-15,Silver,44,M
489,2020-01-20,Gold,32,F
490,2020-11-16,Gold,60,F
491,2024-12-04,Gold,61,F
492,2021-05-26,Gold,44,M
493,2021-02-03,Silver,65,F
494,2021-10-15,Silver,18,F
495,2022-08-29,Gold,52,F
496,2021-04-15,Silver,69,F
497,2023-03-12,Gold,47,F
498,2023-01-20,Silver,37,M
499,2023-10-09,Silver,53,M
500,2022-04-13,Silver,33,M
501,2024-12-28,Silver,22,M
502,2021-12-27,Silver,21,F
503,2022-05-03,Silver,65,M
504,2020-02-20,Platinum,31,F
505,2024-08-15,Platinum,22,M
506,2024-09-17,Gold,27,F
507,2021-07-28,Platinum,69,M
508,2023-04-28,Gold,58,F
509,2023-02-22,Silver,65,M
510,2020-05-29,Gold,63,M
511,2020-11-09,Silver,28,F
512,2021-07-23,Gold,68,F
513,2023-09-27,Silver,39,F
514,2020-10-31,Gold,30,F
515,2024-09-11,Gold,58,F
516,2021-11-12,Silver,64,F
517,2022-04-17,Platinum,55,M
518,2024-12-11,Platinum,42,M
519,2022-12-13,Platinum,28,F
520,2022-09-29,Gold,33,F
521,2021-03-19,Gold,45,F
522,2021-09-04,Silver,64,M
523,2022-09-19,Silver,38,F
524,2020-09-20,Silver,26,F
525,2022-12-12,Silver,23,F
526,2024-05-14,Silver,35,M
527,2022-09-30,Gold,46,M
528,2024-07-01,Silver,43,M
529,2020-01-05,Silver,55,M
530,2023-01-31,Gold,64,M
531,2023-05-04,Silver,33,F
532,2022-02-12,Silver,25,F
533,2022-05-26,Silver,63,M
534,2022-09-18,Silver,45,F
535,2022-06-02,Platinum,40,F
536,2023-10-05,Gold,60,F
537,2020-02-16,Silver,65,F
538,2022-05-16,Silver,48,M
539,2022-04-02,Silver,20,F
540,2022-07-24,Gold,33,M
541,2021-10-17,Platinum,30,F
542,2020-09-25,Silver,22,F
543,2021-01-04,Gold,41,M
544,2021-09-27,Silver,26,F
545,2023-02-03,Gold,32,F
546,2024-08-20,Silver,23,F
547,2024-08-09,Silver,41,M
548,2021-10-18,Gold,61,F
549,2020-04-29,Silver,54,F
550,2022-04-10,Gold,51,M
551,2024-12-15,Platinum,19,M
552,2024-06-15,Silver,22,M
553,2022-12-17,Silver,45,F
554,2023-10-01,Silver,58,F
555,2022-01-10,Silver,61,M
556,2024-02-06,Gold,49,M
557,2020-04-26,Silver,35,M
558,2022-03-01,Gold,58,M
559,2023-02-24,Gold,60,F
560,2023-11-17,Silver,18,F
561,2022-10-09,Gold,49,M
562,2024-07-22,Platinum,46,M
563,2022-12-17,Silver,37,M
564,2021-09-25,Gold,22,F
565,2021-05-27,Gold,26,M
566,2024-11-09,Gold,40,M
567,2022-03-12,Silver,60,M
568,2023-01-24,Gold,47,M
569,2024-07-19,Gold,50,F
570,2023-02-15,Silver,32,F
571,2021-07-13,Gold,63,M
572,2024-06-12,Platinum,37,M
573,2021-05-02,Gold,66,M
574,2023-06-14,Platinum,64,M
575,2022-06-15,Silver,20,F
576,2023-07-19,Silver,42,F
577,2023-04-27,Gold,19,F
578,2021-12-04,Silver,24,F
579,2024-01-10,Gold,58,M
580,2021-08-03,Silver,50,M
581,2022-02-28,Silver,18,F
582,2022-05-10,Gold,41,M
583,2020-09-03,Silver,49,F
584,2023-01-04,Silver,32,F
585,2020-06-02,Platinum,18,F
586,2024-08-06,Gold,54,M
587,2023-12-29,Gold,50,M
588,2022-09-23,Gold,32,M
589,2023-01-14,Silver,40,M
590,2021-11-27,Silver,37,M
591,2023-08-01,Silver,68,M
592,2023-05-28,Gold,25,M
593,2022-12-28,Silver,61,F
594,2022-12-06,Gold,32,F
595,2022-10-05,Silver,63,M
596,2020-04-03,Gold,24,F
597,2024-11-08,Silver,48,F
598,2022-08-15,Gold,66,M
599,2022-10-08,Gold,34,F
600,2021-03-28,Gold,19,F
601,2023-05-12,Gold,44,F
602,2022-06-30,Gold,24,F
603,2020-08-05,Gold,55,M
604,2021-04-18,Silver,61,F
605,2021-03-07,Silver,46,M
606,2020-12-06,Gold,31,M
607,2021-07-04,Platinum,57,M
608,2024-06-23,Gold,65,M
609,2023-08-05,Gold,19,M
610,2023-07-01,Gold,66,M
611,2024-10-23,Platinum,59,M
612,2020-12-22,Gold,39,F
613,2020-01-23,Gold,50,F
614,2024-11-20,Silver,62,M
615,2021-06-05,Silver,55,M
616,2024-11-16,Silver,18,F
617,2023-01-28,Platinum,18,F
618,2022-03-12,Silver,44,F
619,2023-04-18,Gold,33,M
620,2023-05-31,Platinum,36,F
621,2022-01-31,Gold,21,M
622,2024-08-09,Gold,19,F
623,2021-03-17,Silver,24,M
624,2024-06-19,Silver,61,M
625,2022-02-07,Silver,64,F
626,2022-10-12,Gold,35,F
627,2023-09-10,Silver,33,M
628,2021-05-30,Silver,56,M
629,2022-11-05,Gold,32,M
630,2022-03-02,Silver,25,F
631,2020-12-01,Gold,26,F
632,2024-11-17,Gold,35,M
633,2020-09-14,Gold,51,F
634,2021-05-11,Platinum,43,F
635,2022-06-14,Silver,58,F
636,2020-06-08,Silver,54,M
637,2024-02-07,Silver,28,F
638,2022-05-01,Gold,56,F
639,2024-08-14,Platinum,19,M
640,2021-11-20,Platinum,47,M
641,2024-08-25,Platinum,45,M
642,2021-01-14,Gold,30,M
643,2024-04-17,Gold,32,M
644,2022-08-14,Gold,44,F
645,2021-11-21,Silver,40,F
646,2023-12-21,Silver,46,M
647,2024-06-24,Silver,18,M
648,2023-07-15,Silver,57,F
649,2024-05-19,Silver,29,F
650,2023-12-11,Platinum,24,M
651,2023-04-06,Gold,25,F
652,2022-12-02,Gold,24,M
653,2024-04-28,Silver,38,F
654,2020-10-11,Gold,62,M
655,2021-01-31,Gold,44,M
656,2020-01-12,Silver,58,F
657,2024-06-18,Gold,39,M
658,2023-08-18,Platinum,38,M
659,2023-06-30,Gold,36,M
660,2021-05-13,Silver,63,F
661,2022-01-23,Silver,55,F
662,2020-02-04,Silver,51,M
663,2021-12-27,Platinum,64,F
664,2022-04-28,Gold,20,M
665,2020-03-30,Silver,20,F
666,2022-02-14,Gold,21,M
667,2021-08-27,Silver,61,M
668,2022-08-27,Gold,45,M
669,2024-06-13,Gold,54,M
670,2022-10-18,Gold,57,F
671,2021-02-21,Silver,45,M
672,2020-04-24,Silver,64,M
673,2021-09-08,Silver,59,F
674,2023-05-04,Gold,29,M
675,2022-04-05,Gold,55,F
676,2024-03-04,Gold,67,F
677,2024-07-07,Silver,66,M
678,2024-02-25,Gold,67,M
679,2023-01-03,Silver,28,F
680,2021-02-16,Silver,18,F
681,2023-10-31,Gold,21,M
682,2023-12-14,Silver,63,M
683,2021-12-29,Silver,67,M
684,2023-07-24,Silver,49,F
685,2022-10-17,Gold,22,M
686,2022-01-30,Silver,21,F
687,2021-11-06,Silver,62,F
688,2023-11-18,Silver,66,M
689,2021-04-01,Silver,60,M
690,2022-07-08,Gold,65,F
691,2020-07-10,Platinum,50,M
692,2022-01-08,Silver,32,M
693,2024-09-08,Platinum,25,F
694,2023-01-27,Silver,50,F
695,2024-04-20,Silver,67,F
696,2022-09-04,Gold,37,F
697,2022-10-05,Gold,42,M
698,2020-04-05,Silver,51,F
699,2024-08-14,Silver,26,F
700,2021-10-24,Gold,61,M
701,2023-04-28,Platinum,33,F
702,2024-10-25,Platinum,30,M
703,2020-02-06,Gold,68,F
704,2024-12-08,Gold,23,M
705,2023-10-24,Gold,27,F
706,2024-09-14,Gold,69,M
707,2024-03-28,Platinum,45,F
708,2020-10-05,Gold,55,F
709,2020-08-04,Gold,30,F
710,2022-05-16,Silver,67,M
711,2022-05-22,Gold,28,F
712,2024-12-26,Platinum,44,F
713,2023-07-20,Silver,39,F
714,2020-03-02,Silver,43,F
715,2021-08-18,Silver,47,F
716,2021-12-29,Platinum,63,M
717,2023-09-27,Gold,69,F
718,2021-01-31,Silver,38,M
719,2021-11-29,Silver,26,F
720,2022-11-08,Gold,63,F
721,2020-06-25,Gold,29,M
722,2024-06-23,Silver,32,F
723,2021-01-30,Platinum,35,F
724,2021-03-20,Gold,24,M
725,2023-06-10,Gold,46,M
726,2020-03-16,Platinum,43,F
727,2020-09-21,Silver,39,F
728,2021-03-30,Gold,58,M
729,2024-12-24,Gold,44,M
730,2021-12-18,Platinum,51,M
731,2022-01-04,Silver,62,F
732,2023-11-08,Gold,55,M
733,2024-05-06,Gold,62,M
734,2022-04-30,Gold,28,F
735,2024-03-09,Gold,39,F
736,2023-10-22,Silver,49,F
737,2020-05-23,Silver,53,M
738,2022-06-03,Silver,29,M
739,2022-12-28,Silver,35,M
740,2023-01-27,Platinum,26,F
741,2021-01-30,Silver,28,F
742,2022-11-14,Silver,54,F
743,2022-08-05,Platinum,35,F
744,2022-06-09,Platinum,46,F
745,2024-02-01,Gold,68,M
746,2024-02-16,Gold,47,M
747,2024-05-07,Silver,31,M
748,2023-03-20,Silver,51,F
749,2023-03-13,Silver,35,M
750,2021-07-22,Gold,50,F
751,2022-11-28,Silver,26,M
752,2020-04-18,Silver,61,M
753,2024-09-12,Silver,67,F
754,2022-12-01,Silver,33,M
755,2023-04-24,Silver,24,M
756,2022-07-23,Platinum,20,F
757,2021-02-01,Platinum,56,F
758,2023-05-31,Silver,23,F
759,2021-09-25,Silver,20,F
760,2023-03-02,Platinum,32,M
761,2023-04-01,Silver,20,F
762,2023-05-23,Platinum,59,M
763,2022-01-02,Silver,68,M
764,2020-08-22,Gold,40,F
765,2021-10-19,Gold,18,F
766,2022-01-20,Silver,42,F
767,2021-08-10,Silver,60,F
768,2022-10-29,Gold,50,F
769,2023-01-02,Platinum,21,M
770,2022-08-11,Gold,62,M
771,2021-05-06,Gold,50,F
772,2022-07-01,Platinum,50,M
773,2023-06-30,Silver,18,M
774,2023-06-07,Silver,57,M
775,2024-03-22,Silver,41,F
776,2023-04-12,Silver,49,M
777,2024-08-03,Gold,62,M
778,2023-04-06,Silver,62,F
779,2020-06-18,Silver,44,M
780,2023-11-17,Silver,22,M
781,2022-08-03,Silver,60,F
782,2022-03-05,Silver,65,M
783,2021-09-25,Silver,46,M
784,2023-05-02,Platinum,58,M
785,2024-03-20,Gold,45,F
786,2020-01-29,Platinum,28,M
787,2023-04-03,Platinum,57,M
788,2023-12-16,Platinum,47,M
789,2020-12-04,Silver,41,F
790,2024-07-29,Platinum,43,F
791,2024-02-28,Gold,19,M
792,2023-10-20,Silver,51,F
793,2023-09-27,Gold,33,M
794,2021-05-14,Silver,19,M
795,2024-08-07,Silver,29,M
796,2021-05-25,Silver,24,F
797,2023-09-12,Silver,68,F
798,2020-08-04,Gold,31,M
799,2023-08-17,Silver,49,M
800,2023-03-01,Gold,24,M
801,2022-12-29,Silver,53,M
802,2023-06-29,Silver,68,F
803,2023-12-09,Silver,52,F
804,2024-12-15,Platinum,35,F
805,2021-03-20,Platinum,49,F
806,2022-05-25,Silver,30,F
807,2023-04-20,Platinum,27,M
808,2020-06-15,Gold,64,F
809,2020-03-31,Silver,29,M
810,2021-12-14,Silver,20,M
811,2024-04-03,Gold,39,M
812,2020-02-08,Gold,37,F
813,2023-02-23,Gold,26,F
